Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
75128-1,Star Wars,MicroFighters,2016,TIE Advanced Prototype,1,93,8.99,9.99,12.99,,6.73419E+11,,1,9.51,5.38
75129-1,Star Wars,MicroFighters,2016,Wookiee Gunship,1,84,8.99,9.99,12.99,,6.73419E+11,,1,10.17,7.05
75130-1,Star Wars,MicroFighters,2016,AT-DP,1,76,8.99,9.99,12.99,,6.73419E+11,,1,11.19,8.37
75131-1,Star Wars,The Force Awakens,2016,Resistance Trooper Battle Pack,4,112,11.99,12.99,15.99,,6.73419E+11,,1,13.2,10.3
75132-1,Star Wars,The Force Awakens,2016,First Order Battle Pack,4,88,11.99,12.99,15.99,,6.73419E+11,,1,11.26,8.36
75133-1,Star Wars,Battlefront,2016,Rebel Alliance Battle Pack,4,101,11.99,12.99,15.99,5.70202E+12,6.73419E+11,,1,16.13,10.68
75134-1,Star Wars,Battlefront,2016,Galactic Empire Battle Pack,4,109,11.99,12.99,15.99,,6.73419E+11,,1,17.48,14.47
75135-1,Star Wars,Episode III,2016,Obi-Wan's Jedi Interceptor,2,215,19.99,24.99,29.99,,6.73419E+11,,1,31.3,21.76
75136-1,Star Wars,Episode IV,2016,Droid Escape Pod,4,197,19.99,24.99,29.99,,6.73419E+11,,1,24.24,17.02
75137-1,Star Wars,Episode V,2016,Carbon-Freezing Chamber,3,231,19.99,24.99,29.99,,6.73419E+11,,1,21.98,20.71
75138-1,Star Wars,Episode V,2016,Hoth Attack,4,233,19.99,24.99,29.99,,6.73419E+11,,1,28.26,19.74
75139-1,Star Wars,The Force Awakens,2016,Battle on Takodana,5,409,54.99,59.99,74.99,,6.73419E+11,,1,37.16,32.67
75140-1,Star Wars,The Force Awakens,2016,Resistance Troop Transporter,4,646,59.99,69.99,89.99,,6.73419E+11,,1,50.43,37
75141-1,Star Wars,Rebels,2016,Kanan's Speeder Bike,3,234,19.99,19.99,24.99,,,,1,25.53,13.99
75142-1,Star Wars,Episode III,2016,Homing Spider Droid,4,310,34.99,29.99,39.99,,,,1,36.41,24.59
75144-1,Star Wars,Ultimate Collector Series,2017,Snowspeeder,2,1703,169.99,199.99,229.99,,,,1,192.95,169.36
75145-1,Star Wars,Original Content,2016,Eclipse Fighter,2,363,39.99,29.99,39.99,,6.73419E+11,,1,24.61,28.96
75146-1,Star Wars,Seasonal,2016,Star Wars Advent Calendar,10,282,24.99,39.99,49.99,,6.73419E+11,,1,33.66,24.26
75147-1,Star Wars,Original Content,2016,StarScavenger,4,558,54.99,49.99,59.99,,6.73419E+11,,1,33.38,20
75148-1,Star Wars,The Force Awakens,2016,Encounter on Jakku,4,530,54.99,59.99,74.99,,6.73419E+11,,1,42.21,22.6
75149-1,Star Wars,The Force Awakens,2016,Resistance X-wing Fighter,4,740,84.99,79.99,99.99,,6.73419E+11,,1,69.63,57.33
75150-1,Star Wars,Rebels,2016,Vader's TIE Advanced vs. A-wing Starfighter,4,702,79.99,89.99,119.99,,6.73419E+11,,1,81.21,44.73
75151-1,Star Wars,Episode III,2016,Clone Turbo Tank,6,903,109.99,109.99,139.99,,6.73419E+11,,1,88.8,69.79
75152-1,Star Wars,Rogue One,2016,Imperial Assault Hovertank,3,385,29.99,29.99,39.99,,6.73419E+11,,1,33.1,23.73
75153-1,Star Wars,Rogue One,2016,AT-ST Walker,3,449,44.99,39.99,49.99,,6.73419E+11,,1,44.14,36.79
75154-1,Star Wars,Rogue One,2016,TIE Striker,4,543,64.99,69.99,89.99,,6.73419E+11,,1,51.54,35.12
75155-1,Star Wars,Rogue One,2016,Rebel U-wing Fighter,5,659,74.99,79.99,99.99,,6.73419E+11,,1,63.38,62.04
75156-1,Star Wars,Rogue One,2016,Krennic's Imperial Shuttle,6,863,84.99,89.99,119.99,,6.73419E+11,,1,77.7,58.44
75157-1,Star Wars,Rebels,2016,Captain Rex's AT-TE,5,972,109.99,119.99,149.99,,6.73419E+11,,1,74.96,60.99
75158-1,Star Wars,Rebels,2016,Rebel Combat Frigate,5,936,109.99,109.99,149.99,,,,1,104.33,79.5
75160-1,Star Wars,MicroFighters,2017,U-wing,1,109,8.99,9.99,12.99,,6.73419E+11,,1,7.09,5
75161-1,Star Wars,MicroFighters,2017,TIE Striker,1,88,8.99,9.99,12.99,,6.73419E+11,,1,8.38,5
75162-1,Star Wars,MicroFighters,2017,Y-wing,1,90,8.99,9.99,12.99,,6.73419E+11,,1,10.26,6.95
75163-1,Star Wars,MicroFighters,2017,Krennic's Imperial Shuttle,1,78,8.99,9.99,12.99,,6.73419E+11,,1,9.23,8
75164-1,Star Wars,Rogue One,2017,Rebel Trooper Battle Pack,4,120,11.99,14.99,16.99,,6.73419E+11,,1,13.88,11.59
75165-1,Star Wars,Rogue One,2017,Imperial Trooper Battle Pack,4,112,11.99,14.99,16.99,,6.73419E+11,,1,15.97,7.52
75166-1,Star Wars,The Force Awakens,2017,First Order Transport Speeder Battle Pack,4,117,11.99,14.99,16.99,,6.73419E+11,,1,12.66,9.29
75167-1,Star Wars,Original Content,2017,Bounty Hunter Speeder Bike Battle Pack,4,122,11.99,14.99,16.99,,6.73419E+11,,1,13.01,10
75168-1,Star Wars,The Clone Wars,2017,Yoda's Jedi Starfighter,2,262,19.99,24.99,29.99,,6.73419E+11,,1,22.85,15.69
75169-1,Star Wars,Episode I,2017,Duel on Naboo,3,208,19.99,24.99,29.99,,6.73419E+11,,1,24.78,16.68
75170-1,Star Wars,Rebels,2017,The Phantom,3,269,39.99,29.99,39.99,,6.73419E+11,,1,30.98,19.06
75171-1,Star Wars,Rogue One,2017,Battle on Scarif,4,419,54.99,49.99,64.99,,6.73419E+11,,1,45.09,33.5
75172-1,Star Wars,Rogue One,2017,Y-wing Starfighter,5,691,64.99,59.99,74.99,,6.73419E+11,,1,50.38,37.97
75173-1,Star Wars,Episode IV,2017,Luke's Landspeeder,4,149,19.99,19.99,24.99,,,,1,23.66,5.59
75174-1,Star Wars,Episode VI,2017,Desert Skiff Escape,4,277,29.99,29.99,39.99,,,,1,31.08,16.59
75175-1,Star Wars,Episode VI,2017,A-wing Starfighter,3,358,44.99,39.99,49.99,,,,1,48.44,37
75176-1,Star Wars,The Last Jedi,2017,Resistance Transport Pod,3,294,39.99,29.99,39.99,,6.73419E+11,,1,29.17,16.5
75177-1,Star Wars,The Last Jedi,2017,First Order Heavy Scout Walker,4,554,49.99,49.99,64.99,,6.73419E+11,,1,30.86,15.99
75178-1,Star Wars,The Force Awakens,2017,Jakku Quadjumper,5,457,54.99,49.99,64.99,,6.73419E+11,,1,44.66,26.73
75179-1,Star Wars,The Last Jedi,2017,Kylo Ren's TIE Fighter,4,630,74.99,79.99,99.99,,6.73419E+11,,1,51.35,24.29
75180-1,Star Wars,The Force Awakens,2017,Rathtar Escape,5,836,84.99,79.99,99.99,,6.73419E+11,,1,60.2,10.19
75181-1,Star Wars,Ultimate Collector Series,2018, Y-wing Starfighter,2,1967,169.99,199.99,249.99,,,,1,215.61,
75182-1,Star Wars,Legends,2017,Republic Fighter Tank,4,305,19.99,24.99,29.99,,6.73419E+11,,1,22.12,11.5
75183-1,Star Wars,Episode III,2017,Darth Vader Transformation ,6,282,19.99,24.99,29.99,,6.73419E+11,,1,24.54,22.26
75184-1,Star Wars,Seasonal,2017,Star Wars Advent Calendar,8,309,24.99,39.99,49.99,,6.73419E+11,,1,24.99,
75185-1,Star Wars,Original Content,2017,Tracker I,4,557,64.99,69.99,89.99,,6.73419E+11,,1,54.52,
75186-1,Star Wars,Original Content,2017,The Arrowhead,5,775,84.99,89.99,109.99,,6.73419E+11,,1,51.67,60.39
75187-1,Star Wars,The Last Jedi,2017,BB-8,1,1106,84.99,99.99,129.99,,6.73419E+11,,1,80.51,60
75188-1,Star Wars,The Last Jedi,2017,Resistance Bomber,5,778,99.99,109.99,139.99,,6.73419E+11,,1,87.32,68.24
75189-1,Star Wars,The Last Jedi,2017,First Order Heavy Assault Walker,5,1376,129.99,149.99,169.99,,6.73419E+11,,1,105.47,72.83
75190-1,Star Wars,The Last Jedi,2017,First Order Star Destroyer,7,1416,129.99,159.99,179.99,,6.73419E+11,,1,114.7,83.5
75191-1,Star Wars,Episode II,2017,Jedi Starfighter with Hyperdrive,4,825,89.99,99.99,129.99,,,,1,104.5,59.99
75192-1,Star Wars,Ultimate Collector Series,2017,Millennium Falcon,8,7541,649.99,799.99,899.99,,,,1,885.97,757.92
75193-1,Star Wars,MicroFighters,2018,Millennium Falcon Microfighter,1,92,8.99,9.99,12.99,,,,1,9.26,3.99
75194-1,Star Wars,MicroFighters,2018,First Order TIE Fighter Microfighter,1,91,8.99,9.99,12.99,,,,1,7.82,7.58
75195-1,Star Wars,MicroFighters,2018,Ski Speeder vs. First Order Walker Microfighters,2,216,16.99,19.99,24.99,,,,1,15.37,
75196-1,Star Wars,MicroFighters,2018,A-Wing vs. TIE Silencer Microfighters,2,188,16.99,19.99,24.99,,,,1,14.97,
75197-1,Star Wars,The Last Jedi,2018,First Order Specialists Battle Pack,4,108,12.99,14.99,16.99,,,,1,13.55,1.99
75198-1,Star Wars,Episode IV,2018,Tatooine Battle Pack,4,97,12.99,14.99,16.99,,,,1,14.95,11.64
75199-1,Star Wars,The Clone Wars,2018,General Grievous' Combat Speeder,2,157,25.99,29.99,34.99,,,,1,22.6,6.49
75200-1,Star Wars,The Last Jedi,2018,Ahch-To Island Training,2,241,25.99,29.99,34.99,,,,1,26.62,25
75201-1,Star Wars,The Last Jedi,2018,First Order AT-ST,4,370,54.99,39.99,49.99,,,,1,48.73,12.99
75202-1,Star Wars,The Last Jedi,2018,Defense of Crait,5,746,74.99,84.99,99.99,,,,1,59.57,38.39
75204-1,Star Wars,,2018,Sandspeeder,2,278,34.99,29.99,39.99,,,,1,31.68,
75206-1,Star Wars,Episode II,2018,Jedi and Clone Troopers Battle Pack,4,102,12.99,14.99,16.99,,,,1,15.87,
75207-1,Star Wars,Solo,2018,Imperial Patrol Battle Pack,4,99,12.99,14.99,16.99,,,,1,14.52,
75208-1,Star Wars,Episode V,2018,Yoda's Hut,3,229,25.99,29.99,34.99,,,,1,27.32,10.99
75209-1,Star Wars,Solo,2018,Han Solo's Landspeeder,2,345,25.99,29.99,34.99,,,,1,26.05,25
75210-1,Star Wars,Solo,2018,Moloch's Landspeeder,2,464,44.99,39.99,49.99,,,,1,41.52,
75211-1,Star Wars,Solo,2018,Imperial TIE Fighter,4,519,64.99,69.99,89.99,,,,1,59.44,48
75523-1,Star Wars,Buildable Figures,2017,Scarif Stormtrooper,,89,19.99,24.99,29.99,,6.73419E+11,,1,16.19,15
75524-1,Star Wars,Buildable Figures,2017,Chirrut Ì_mwe,,87,19.99,24.99,29.99,,6.73419E+11,,1,13.37,
75525-1,Star Wars,Buildable Figures,2017,Baze Malbus,,148,19.99,24.99,29.99,,6.73419E+11,,1,11.71,4.25
75526-1,Star Wars,Buildable Figures,2017,Elite TIE Fighter Pilot,,94,19.99,19.99,24.99,,6.73419E+11,,1,13.56,
75528-1,Star Wars,Buildable Figures,2017,Rey,,85,19.99,24.99,29.99,,6.73419E+11,,1,16.8,
75529-1,Star Wars,Buildable Figures,2017,Elite Praetorian Guard,,92,19.99,24.99,29.99,,6.73419E+11,,1,19.46,17.41
75530-1,Star Wars,Buildable Figures,2017,Chewbacca,,179,24.99,34.99,44.99,,6.73419E+11,,1,25.82,11.75
75531-1,Star Wars,Buildable Figures,2017,Stormtrooper Commander,,100,19.99,24.99,29.99,,6.73419E+11,,1,18.85,16.25
75532-1,Star Wars,Buildable Figures,2017,Scout Trooper & Speeder Bike,,452,49.99,54.99,69.99,,6.73419E+11,,1,33.19,24.11
75533-1,Star Wars,Buildable Figures,2018,Boba Fett,,144,25.99,29.99,39.99,,,,1,26.19,
75534-1,Star Wars,Buildable Figures,2018,Darth Vader,,168,34.99,39.99,49.99,,,,1,30.61,29.99
75535-1,Star Wars,Buildable Figures,2018,Han Solo,,101,25.99,24.99,29.99,,,,1,25.2,
75536-1,Star Wars,Buildable Figures,2018,Range Trooper,,101,25.99,24.99,29.99,,,,1,26.29,
75537-1,Star Wars,Buildable Figures,2018,Darth Maul,,104,25.99,29.99,39.99,,,,1,24,
850446-1,Gear,Key Chains/Star Wars,2012,Darth Maul,,,3.99,4.99,5.99,,6.73419E+11,,1,,
850635-1,Gear,Magnets/Star Wars,2013,Darth Vader Magnet,,,4.99,6.99,8.49,,6.73419E+11,,1,,
850636-1,Gear,Magnets/Star Wars,2013,Luke Skywalker Magnet,,,4.99,6.99,8.49,,6.73419E+11,,1,,
850637-1,Gear,Magnets/Star Wars,2013,Princess Leia Magnet,,,4.99,6.99,8.49,,6.73419E+11,,1,,
850638-1,Gear,Magnets/Star Wars,2013,Han Solo Magnet,,,4.99,6.99,8.49,,6.73419E+11,,1,,
850639-1,Gear,Magnets/Star Wars,2013,Chewbacca Magnet,,,4.99,6.99,8.49,,6.73419E+11,,1,,
850640-1,Gear,Magnets/Star Wars,2013,Obi-Wan Kenobi Magnet,,,4.99,6.99,8.49,,6.73419E+11,,1,,
850642-1,Gear,Magnets/Star Wars,2013,Stormtrooper Magnet,,,4.99,6.99,8.49,,6.73419E+11,,1,,
850643-1,Gear,Magnets/Star Wars,2013,Boba Fett Magnet,,,4.99,6.99,8.49,,6.73419E+11,,1,,
850898-1,Gear,Stationery,2014,THE LEGO Movie Stationery Set,,,10.99,14.99,17.99,,6.73419E+11,,1,,
850996-1,Gear,Key Chains/Star Wars,2014,Darth Vader,,,4.99,4.99,5.99,,,,1,,
850997-1,Gear,Key Chains/Star Wars,2014,Princess Leia,,,4.99,4.99,5.99,,,,1,,
850998-1,Gear,Key Chains/Star Wars,2014,Boba Fett,,,4.99,4.99,5.99,,,,1,,
850999-1,Gear,Key Chains/Star Wars,2014,Stormtrooper,,,3.99,4.99,5.49,,,,1,,
851317-1,Gear,Magnets/Star Wars,2014,Boba Fett Magnet,,,4.99,6.99,8.49,,,,1,,
853449-1,Gear,Key Chains/Star Wars,2015,Yoda Key Chain,,,4.99,4.99,5.99,,,,1,,
853450-1,Gear,Key chains/Star Wars,2015,Emperor's Royal Guard Key Chain,,,3.99,4.99,5.49,,,,1,,
853451-1,Gear,Key chains/Star Wars,2015,Chewbacca Key Chain,,,4.99,4.99,5.99,,,,1,,
853469-1,Gear,Key chains/Star Wars,2015,Wicket Key Chain,,,3.99,4.99,5.99,,,,1,,
853470-1,Gear,Key chains/Star Wars,2015,R2 D2 Key Chain,,,4.99,4.99,5.99,,,,1,,
853471-1,Gear,Key chains/Star Wars,2015,C 3PO Key Chain,,,4.99,4.99,5.99,,,,1,,
853472-1,Gear,Key chains/Star Wars,2015,Luke Skywalker Key Chain,,,3.99,4.99,5.49,,,,1,,
853474-1,Gear,Key chains/Star Wars,2015,Commander Gree Key Chain,,,3.99,4.99,5.49,,,,1,,
853475-1,Gear,Key Chains/Star Wars,2015,Imperial Gunner Key Chain,,,2.99,,,,,,1,,
853476-1,Gear,Magnets/Star Wars,2015,Yoda Magnet,,,3.99,6.99,8.49,,,,1,,
853602-1,Gear,Key Chains/Star Wars,2016,Finn Key Chain,,,4.99,4.99,5.99,,,,1,,
853603-1,Gear,Key Chains/Star Wars,2016,Rey Key Chain,,,4.99,4.99,5.99,,,,1,,
853604-1,Gear,Key Chains/Star Wars,2016,BB 8 Key Chain,,,4.99,4.99,5.99,,,,1,,
853605-1,Gear,Key Chains/Star Wars,2016,Poe Dameron Key Chain ,,,4.99,4.99,5.99,,,,1,,
853703-1,Gear,Key Chains/Star Wars,2017,Director Krennic Key Chain,,,4.99,4.99,5.99,,,,1,,
853704-1,Gear,Key Chains/Star Wars,2017,Jyn Erso Key Chain,,,4.99,5.99,6.99,,,,1,,
853705-1,Gear,Key Chains/Star Wars,2017,Y Wing Pilot Key Chain,,,4.99,4.99,5.99,,,,1,,
853767-1,Gear,Key Chains/Star Wars,2018,Star Destroyer Bag Charm,,,4.99,4.99,6.99,,,,1,,
853768-1,Gear,Key Chains/Star Wars,2018,Landspeeder Bag Charm,,,4.99,4.99,6.99,,,,1,,
853769-1,Gear,Key Chains/Star Wars,2018,Han Solo Key Chain,,,4.99,4.99,5.99,,,,1,,
853770-1,Gear,Key Chains/Star Wars,2018,BB-9E Key Chain,,,4.99,4.99,5.99,,,,1,,
2854298-1,Gear,Digital media,2010,The Adventures of Clutch Powers DVD,,,14.99,19.99,19.99,,,,1,,
2856081-1,Gear,Watches/Clocks,2010,Darth Vader Minifigure Clock,,,24.99,29.99,29.99,5.065E+12,,,1,,
5000249-1,Gear,Watches/Clocks,2012,Boba Fett Minifigure Clock,,,24.99,29.99,29.99,,,,1,,
5001159-1,Gear,Lights,2012,Darth Vader Light Key Chain,,,9.99,11.99,14.99,,,,1,,
5001160-1,Gear,Lights,2012,Stormtrooper Light Key Chain,,,9.99,11.99,14.99,,,,1,,
5001310-1,Gear,Lights,2012,Yoda Light Key Chain,,,9.99,11.99,14.99,,,,1,,
5002198-1,Gear,Digital media,2013,LEGO Star Wars: The Empire Strikes Out,1,,,14.99,16.99,,,,1,,
5002211-1,Gear,Watches/Clocks,2013,Obi-Wan Kenobi vs. Darth Vader Minifigure Watch,,,19.99,24.99,34.99,,,,1,,
5002212-1,Gear,Watches/Clocks,2013,Chewbacca Minifigure Watch,1,,19.99,24.99,24.99,,,,1,,
5002938-1,Star Wars,Rebels,2015,Stormtrooper Sergeant,1,5,,,,,6.73419E+11,bought for ‰âÂ10,1,6.61,5.85
5002941-1,Bionicle,Packs,2015,Hero Pack,,9,0.01,,,,,,1,1.89,0.25
5002943-1,Marvel Super Heroes,Miscellaneous,2015,Winter Soldier,1,4,,,,,,,2,8.83,7.36
5002947-1,Star Wars,Episode IV,2015,Admiral Yularen,1,4,,,,,6.73419E+11,,2,12.4,9.26
5002948-1,Star Wars,The Force Awakens,2015,C-3PO,1,3,,3.99,,,,,2,6.53,4.48
5004404-1,City,Police,2016,Police Chase,,37,,,,,,Gave to Stephen Redmond,1,3.57,3.71
5004406-1,Star Wars,The Force Awakens,2016,First Order General,1,4,,,,,,,1,5.26,4.72
5004408-1,Star Wars,Rebels,2016,Rebel A-wing Pilot,1,5,,,,,,,1,5.25,3.9
5004752-1,Gear,Lights,2015,Boba Fett Key Light,,,9.99,,,,,,1,,
5005011-1,Gear,Watches/Clocks,2016,Anakin Skywalker Minifigure Watch,,,19.99,,,,,,1,,
5005014-1,Gear,Watches/Clocks,2015,C 3PO and R2 D2 Minifigure Watch,,,19.99,,,,,,1,,
5005017-1,Gear,Watches/Clocks,2016,Yoda Minifigure Watch,,,24.99,,,,,,1,,
5005212-1,Gear,Watches/Clocks,2017,Boba Fett and Darth Vader Link Watch,,,,24.99,24.99,,,,1,,
5005298-1,Gear,Lights,2017,BB 8 Key Light,,,13.99,,,,,,1,,
5005376-1,Star Wars,Promotional,2018,Star Wars Anniversary Pod,1,,,,,,,,1,16.52,
BAT211804 -1,The LEGO Batman Movie,Magazine Gift,2018,Harley Quinn,,6,,,,,,,1,,
ISBN1409326055-1,Books,Dorling Kindersley,2013,LEGO Star Wars: Battle for the Stolen Crystals: Brickmaster,2,189,19.99,32.99,32.99,,,,1,,
ISBN1409347303-1,Books,Dorling Kindersley,2014,"LEGO Star Wars: The Visual Dictionary, Updated and Expanded",1,4,16.99,21.99,,,,,1,,
ISBN1409347389-1,Books,Dorling Kindersley,2014,LEGO Star Wars: The Dark Side,1,5,,16.99,17.99,,,,1,,
ISBN1465422994-1,Books,Dorling Kindersley,2014,LEGO Ninjago: The Visual Dictionary,1,5,,,,,,,1,,
ISBN1465434372-1,Books,Dorling Kindersley,2015,Star Wars in 100 Scenes,,,,18.99,,,,,1,,
JW121801-1,Jurassic World,Magazine Gift,2018,Baby Raptor and Nest,,,,,,,,,1,,
NEX271608-1,Nexo Knights,Magazine Gift,2016,Kid Clay,,,,,,,,,1,,
NEX271723-1,Nexo Knights,Magazine Gift,2017,Hovercraft,,,,,,,,,1,,
SW911506-1,Star Wars,Magazine Gift,2015,Snowspeeder,,,,,,,,,1,,
SW911509-1,Star Wars,Magazine Gift,2015,Imperial Shooter,,,,,,,,,1,,
SW911511-1,Star Wars,Magazine Gift,2015,Jedi Weapon Stand,,,,,,,,,1,,
SW911608-1,Star Wars,Magazine Gift,2016,Landspeeder,,,,,,,,,1,,
SW911609-1,Star Wars,Magazine Gift,2016,Naboo Starfighter,,,3.99,,,,,,1,,
SW911613-1,Star Wars,Magazine Gift,2016,TIE Bomber,,,,,,,,,1,,
SW911614-1,Star Wars,Magazine Gift,2016,Yoda's Hut,,,,,,,,,1,,
SW911615-1,Star Wars,Magazine Gift,2016,AT-AT,,,,,,,,,1,,
SW911616-1,Star Wars,Magazine Gift,2016,MTT,,45,,,,,,,2,,
SW911617-1,Star Wars,Magazine Gift,2016,Palpatine's Shuttle,,,,,,,,,1,,
SW911618-1,Star Wars,Magazine Gift,2017,Flash Speeder,,,,,,,,,1,,
SW911719-1,Star Wars,Magazine Gift,2017,Kanan Jarrus,,6,,,,,,,1,,
SW911720-1,Star Wars,Magazine Gift,2017,The Ghost,,,,,,,,,1,,
SW911721-1,Star Wars,Magazine Gift,2017,Imperial Combat Driver,,5,,,,,,,1,,
SW911722-1,Star Wars,Magazine Gift,2017,TIE Advanced,,,,,,,,,1,,
SW911723-1,Star Wars,Magazine Gift,2017,Vulture Droid,,,,,,,,,1,,
SW911724-1,Star Wars,Magazine Gift,2017,A-Wing,,,,,,,,,1,,
SW911725-1,Star Wars,Magazine Gift,2017,Sandcrawler,,,,,,,,,1,,
SW911726-1,Star Wars,Magazine Gift,2017,Imperial Snowtrooper,,5,,,,,,,1,,
SW911727-1,Star Wars,Magazine Gift,2017,Rey's Speeder,,,,,,,,,1,,
SW911728-1,Star Wars,Magazine Gift,2017,First Order Snowspeeder,,,,,,,,,1,,
SW911729-1,Star Wars,Magazine Gift,2017,Droid Gunship,,,,,,,,,1,,
SW911730-1,Star Wars,Magazine Gift,2017,Y-Wing,,,,,,,,,1,,
SW911831-1,Star Wars,Magazine Gift,2018,Kylo Ren's Shuttle,,,,,,,,,1,,
SW911832-1,Star Wars,Magazine Gift,2018,Imperial Shuttle Pilot,,5,,,,,,,1,,
SW911833-1,Star Wars,Magazine Gift,2018,Imperial Shuttle,,,,,,,,,1,,
SW911835-1,Star Wars,Magazine Gift,2018,Dwarf Spider Droid,,,,,,,,,1,,
SW911836-1,Star Wars,Magazine Gift,2018,Quadjumper,,42,,,,,,,1,,
SW911837-1,Star Wars,Magazine Gift,2018,AT-ST,,,,,,,,,1,,
SWDVDBD-1,Gear,Digital media,2011,LEGO Star Wars: The Padawan Menace,1,,,,,,,,1,,
