Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
40253-1,Seasonal,Christmas,2017,Christmas Build-Up,,254,,,,5.70202E+12,,,1,11.23,5.6
40254-1,Seasonal,Christmas,2017,Nutcracker,,230,,,,,,,1,18.72,
40268-1,Star Wars,Rogue One,2017,R3-M2,1,21,,,,,,,1,7.42,4.45
40270-1,BrickHeadz,Seasonal,2018,Valentine's Bee,,140,9.99,9.99,12.99,5.70202E+12,,,1,13.97,
40271-1,BrickHeadz,Seasonal,2018,Easter Bunny,,126,9.99,9.99,12.99,5.70202E+12,,,1,14.21,
40288-1,Star Wars,Promotional,2018,BB-8,,48,,,,,,,1,17.32,10
40298-1,Star Wars,The Last Jedi,2018,DJ,1,22,,,,,,,1,8.15,3.99
41485-1,BrickHeadz,Star Wars,2017,Finn,,91,9.99,9.99,12.99,,,,1,14.92,
41486-1,BrickHeadz,Star Wars,2017,Captain Phasma,,127,9.99,9.99,12.99,,,,1,19.24,
41487-1,BrickHeadz,Ninjago,2017,Lloyd,,102,9.99,9.99,12.99,,,,1,22.9,23.28
41488-1,BrickHeadz,Ninjago,2017,Master Wu,,89,9.99,9.99,12.99,,,,1,17.19,23.28
41489-1,BrickHeadz,Star Wars,2017,Rey & Kylo Ren,,249,,19.99,,,,,1,18.73,
41585-1,BrickHeadz,DC Comics Super Heroes,2017,Batman,,91,9.99,9.99,12.99,,6.73419E+11,,1,12.14,5.72
41586-1,BrickHeadz,DC Comics Super Heroes,2017,Batgirl,,99,9.99,9.99,12.99,,6.73419E+11,,1,8.27,
41587-1,BrickHeadz,DC Comics Super Heroes,2017,Robin,,101,9.99,9.99,12.99,,6.73419E+11,,1,11.1,9.35
41588-1,BrickHeadz,DC Comics Super Heroes,2017,The Joker,,151,9.99,9.99,12.99,,6.73419E+11,,1,9.87,5.5
41589-1,BrickHeadz,Marvel Super Heroes,2017,Captain America,,79,9.99,9.99,12.99,,6.73419E+11,,1,10.68,3.99
41590-1,BrickHeadz,Marvel Super Heroes,2017,Iron Man,,96,9.99,9.99,12.99,,6.73419E+11,,1,9.84,7.82
41591-1,BrickHeadz,Marvel Super Heroes,2017,Black Widow,,143,9.99,9.99,12.99,,6.73419E+11,,1,9.86,5.74
41592-1,BrickHeadz,Marvel Super Heroes,2017,The Hulk,,93,9.99,9.99,12.99,,6.73419E+11,,1,9.61,3.99
41593-1,BrickHeadz,Disney,2017,Captain Jack Sparrow,,109,9.99,9.99,12.99,,6.73419E+11,,1,9.57,3.99
41594-1,BrickHeadz,Disney,2017,Captain Armando Salazar,,118,9.99,9.99,12.99,,6.73419E+11,,1,8.65,9.82
41595-1,BrickHeadz,Disney,2017,Belle,,139,9.99,9.99,12.99,,6.73419E+11,,1,10.03,5
41596-1,BrickHeadz,Disney,2017,Beast,,116,9.99,9.99,12.99,,6.73419E+11,,1,8.13,5.59
41597-1,BrickHeadz,,2018,Go Brick Me,,708,25.99,29.99,39.99,,,,1,29.12,
41598-1,BrickHeadz,DC Comics Super Heroes,2018,The Flash,,122,9.99,9.99,12.99,,,,1,8.97,
41599-1,BrickHeadz,DC Comics Super Heroes,2018,Wonder Woman,,143,9.99,9.99,12.99,,,,1,7.69,
41600-1,BrickHeadz,DC Comics Super Heroes,2018,Aquaman,,135,9.99,9.99,12.99,,,,1,8.57,
41601-1,BrickHeadz,DC Comics Super Heroes,2018,Cyborg,,108,9.99,9.99,12.99,,,,1,7.74,
41602-1,BrickHeadz,Star Wars,2018,Rey,,119,9.99,9.99,12.99,,,,1,7.87,
41603-1,BrickHeadz,Star Wars,2018,Kylo Ren,,130,9.99,9.99,12.99,,,,1,8.65,
